Name,Title,_Artist1,_Artist2,_Artist3,_Artist4,_Artist5,url,Type,Lyric,Video,Christmas,Live,Remix,Cover,id,Start,End,Uploader,Duration
10Cc - I'M Not In Love Lyrics,I'm Not In Love,10Cc,,,,,https://www.youtube.com/watch?v=ln86-fteBOc,Lyric,1,0,0,0,0,0,ln86-fteBOc,0.0,0.0,Reignoverme45,360
112 - U Already Know,U Already Know,112,,,,,https://www.youtube.com/watch?v=ynMnPGmhsG0,Lyric,1,0,0,0,0,0,ynMnPGmhsG0,0.0,0.0,112Vevo,198
3Oh!3- Don'T Trust Me Lyrics,3oh 3 Don't Trust Me,3oh 3,,,,,https://www.youtube.com/watch?v=GSjlxbxAymM,Lyric,1,0,0,0,0,0,GSjlxbxAymM,0.0,0.0,Horsesrus09,205
3Oh!3 - Don'T Trust Me [Official Music Video],3oh 3 Don't Trust Me,3oh 3,,,,,https://www.youtube.com/watch?v=mdB3Oyd5HtU,Video,0,1,0,0,0,0,mdB3Oyd5HtU,0.0,0.0,Photofinishrecords,219
Donttrustme,Donttrustme,3oh 3,,,,,https://www.youtube.com/watch?v=gkbAx63e1wI,Lyric,1,0,0,0,0,0,gkbAx63e1wI,0.0,0.0,3Oh!3 - Topic,193
5 Seconds Of Summer - She Looks So Perfect (Official Video),She Looks So Perfect,5 Seconds Of Summer,5Sos,,,,https://www.youtube.com/watch?v=X2BYmmTI04I,Video,0,1,0,0,0,0,X2BYmmTI04I,0.0,0.0,5Sosvevo,219
The Chainsmokers - Who Do You Love (Lyric Video) Ft. 5 Seconds Of Summer,Who Do You Love,5 Seconds Of Summer,The Chainsmokers,Chainsmokers,,,https://www.youtube.com/watch?v=hPc7m1ffj3s,Lyric,1,0,0,0,0,0,hPc7m1ffj3s,0.0,0.0,Chainsmokersvevo,231
5 Seconds Of Summer - Youngblood ( Cover By J.Fla ),Youngblood Cover,5 Seconds Of Summer,J Fla,,,,https://www.youtube.com/watch?v=iDBrA0iw85I,Lyric,1,0,0,0,0,1,iDBrA0iw85I,0.0,0.0,Jflamusic,146
50 Cent - Candy Shop W/ Lyrics,Candy Shop,50 Cent,,,,,https://www.youtube.com/watch?v=IZKBa6bvUjo,Lyric,1,0,0,0,0,0,IZKBa6bvUjo,0.0,0.0,Terenix1,211
Ally Brooke - Lips Don'T Lie (Lyrics) Ft. A Boogie Wit Da Hoodie,Lips Don't Lie,A Boogie Wit Da Hoodie,Ally Brooke,Ally Brooke,,,https://www.youtube.com/watch?v=55khtkXVqgI,Lyric,1,0,0,0,0,0,55khtkXVqgI,0.0,0.0,Dorkycabello,172
A Flock Of Seagulls - Space Age Love Song,Space Age Love Song,A Flock Of Seagulls,,,,,https://www.youtube.com/watch?v=Mt9FG9YjBMM,Lyric,0,1,0,0,0,0,Mt9FG9YjBMM,0.0,0.0,Heartbreak In Motordrive,231
A-Ha - Take On Me [Lyrics],Take On Me,A Ha,,,,,https://www.youtube.com/watch?v=irljBY9J5ig,Lyric,1,0,0,0,0,0,irljBY9J5ig,0.0,0.0,Lyricosaurus,229
"Topic, A7S - Breaking Me Ft. A7S",Breaking Me,A7S,Topic,,,,https://www.youtube.com/watch?v=jIoEaTN7GGo,Lyric,1,0,0,0,0,0,jIoEaTN7GGo,0.0,0.0,Topicmusicvevo,166
Aaron Smith - Dancin (Krono Remix),Dancin Krono Remix,Aaron Smith,,,,,https://www.youtube.com/watch?v=0XFudmaObLI,Lyric,1,0,0,0,1,0,0XFudmaObLI,0.0,0.0,Thesoundyouneed,256
